crit1,crit2,crit3,vicinity,extended,ishostkid,suicide,propextent,nkill,nwound,success
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,0,0,0,0.0,0,3.0,0.0,0.0,0
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,2.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,4.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,1.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,2.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,4.0,0.0,0.0,1
1,1,1,0,0,0.0,0,4.0,0.0,0.0,1
1,1,1,0,0,0.0,0,4.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,2.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,7.0,1
1,1,1,0,0,0.0,0,3.0,7.0,9.0,1
1,1,1,0,0,0.0,0,3.0,0.0,7.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,1.0,1
1,1,1,0,0,0.0,0,3.0,1.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,2.0,47.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,4.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
1,1,1,0,0,0.0,0,3.0,0.0,0.0,1
